"","SNU601_DMSO","SNU601_Ortho","SNU601_Para","SNU601_Meta","SNU216_DMSO","SNU216_Ortho","SNU216_Para","SNU216_Meta","SNU668_DMSO","SNU688_Ortho","SNU688_Para","SNU688_Meta","AGS_DMSO","AGS_Ortho","AGS_Para","AGS_Meta","MKN1_DMSO","MKN1_Ortho","MKN1_Para","MKN1_Meta"
"MKLN1-AS",4.09441767818351,4.04045438961134,5.48740640356925,3.71535071287383,4.23563157899598,3.96150055518758,5.49601600624533,4.12080085100344,4.82643356839708,5.09416795054255,6.60735658074167,5.00671307340911,3.99167407350894,3.81941079545636,5.39563936634992,3.92066370935742,4.30276947519557,4.77231928212183,6.03090904460497,4.54816406765309
"SMC5-AS1",6.10078275632169,6.39144635854911,6.78687514938248,6.06317411373633,6.93170949212165,7.19570293678133,8.32434312038969,7.2691088225593,4.30034125989414,4.70927650542013,5.91108682187614,4.53225153503755,5.62028101901316,6.04444111258484,6.54554873105996,5.84110203267551,4.38614439798375,4.84106565851461,7.95592187757245,4.53873078994698
"LOC100507395",3.73881847470657,3.70527732861667,4.56578915516662,3.81216645258492,3.88666326410804,3.54409150747467,5.46526492701758,4.05731691134076,3.48519010598014,3.53196381663242,4.20711863991616,3.41206792146983,3.45543407916776,4.23113487886788,4.5053462226328,3.99107398324353,4.07354709400445,4.28115215580114,5.33302934405598,4.20715199968236
"RAB11B-AS1",4.57703082354001,4.96977070463177,5.57833120971289,4.94122039689115,3.96483604239151,3.78150992236048,4.62398198343861,3.86733527676399,4.14823377037821,4.06502960377937,5.36807965655831,4.32665075416784,4.84318220442829,4.85660081301492,6.43578016778828,5.43088523861817,4.16552781720551,4.89762580284919,4.7842909729242,4.7177232038398
"LOC100507599",5.15132365904802,5.32827023046552,6.27064638816533,5.00568779659146,5.91444001029933,5.94841386288782,7.56743166109539,5.67127099664375,4.90056825304506,5.11521281990701,5.89379555536399,4.67710048071442,5.33785974389578,5.28072419835951,5.7336651664545,5.4610565680445,5.06024843640633,5.32436001526782,6.09665646042763,5.55840415260894
"GMDS-DT",4.27780557367355,4.28609082238799,5.85688367463863,3.8287454867018,5.05473931257927,5.04952693654992,5.77150145996395,4.66017340511087,3.71892314516559,4.21822516602085,4.49884604419864,3.69340174886949,5.01297726512423,5.04346946272144,5.67420799526045,4.89998953836409,3.52457156860926,4.07968061006444,5.14787009798244,3.7302288206923
"MIR4504",5.39758071739646,4.64339756856959,3.03546958687254,5.25673926827918,5.51681087758138,5.14652679614878,4.23098449388713,5.37443275176797,5.6174953332864,6.0587162311564,3.39622549413752,5.55598343514558,5.15899826339097,5.02493357734149,3.59522796700197,4.51018960385248,3.5764072648762,3.0374411348013,2.80631968344368,3.81587852389308
"DPP3",7.21133112048169,7.34421798680951,6.25672458754515,6.83340606877781,6.7026602304151,7.30985151786135,5.9573830138153,6.75042761336549,6.09975509235734,6.27677648823738,5.61121320131413,6.27090154146914,6.95723443416956,6.79104380745292,5.43210826025784,7.0809518847562,6.74134273803175,6.92335167185471,6.09835343430376,6.84073570486094
"DGUOK-AS1",4.32907759912542,4.38622696810016,5.40992846911684,4.46569519650647,3.51327340361556,3.56965964155515,5.06957655199173,3.5257328528416,3.55376621360676,4.01816646889322,4.30288801904666,3.64566981870391,4.10456760329842,4.56739256078294,6.62549002277521,4.56453313722066,3.65847382972546,4.1451374992951,6.14879343894163,4.13515232676299
"ARPC1B",6.96169529449792,6.97092229803023,5.42038804483448,6.96424183366273,6.49065352276003,6.58849211104771,5.03795214787724,6.53194750179938,7.40787796252116,7.65596238477693,6.95885117730676,7.65943590611942,6.26811679620275,6.47586431458611,5.86306274438718,6.37148549375981,7.68764859566311,7.61767566198538,6.42084382885293,7.4916826858752
"KIF20A",7.43287505107362,7.57333585770735,4.50956990052937,7.55726285675589,7.71539081299855,7.71344126916877,5.04042675246603,7.77937655763766,8.27374508491136,8.38703095139356,4.50888578541054,8.3033935873741,7.79362531396013,8.02370327073105,3.8062664238064,7.87749660186298,9.00715800307167,8.97699954899232,6.32314589781751,8.9535555380834
"BCAP31",9.13353056556555,9.15550292423746,8.15729173311114,9.09979818078488,8.57705109946583,8.76470521484538,7.42469697826168,8.70896618378996,8.91277485073436,8.9313028905466,8.38852361736952,8.95012038081492,8.34762209476157,8.1743422749756,6.90817395843109,8.26090981338373,8.28536306603231,8.22029478052498,7.40750924902254,8.27387236530856
"NAMPT",7.50367170779863,7.72403404817353,9.11285361831872,7.620111793885,7.57240542086015,7.58159817455649,9.26942237205959,7.84295066017229,9.69267012663186,9.64775194258807,11.1990330840559,9.63911477418308,8.86852330681229,8.99554226103929,10.5435070186078,8.91391490164721,8.72373821026693,8.86973269952252,9.94694765961288,8.71674800990961
"LPCAT3",9.2602874006311,9.22201975597735,7.77886187946388,8.97500072369368,8.33936361378258,8.47386734334478,7.12820798465366,8.49461615380957,8.52077889153495,8.7233139082464,6.01061889429694,8.56621483351788,8.47858437514274,8.45350629532795,6.96302228720044,8.59727336591194,9.08795059013241,9.27028977458992,7.26524805706948,9.09218788570663
"CDK2",7.57273879814259,7.71498715190197,6.13600728923689,7.57819548531015,8.11083548865427,8.24756620851593,5.83294216718595,8.00429255895521,7.22105977621969,7.32777937881522,5.77607228360476,7.14280736127047,7.65100043782229,7.72193967565434,5.9308264094502,7.71338726376869,7.45902451731439,7.39014574529214,5.76207048543674,7.51404098813886
"CHROMR",4.74365420496564,4.96687856742179,5.85964414917639,4.9247448636177,4.89433352111066,5.41765381386036,7.14958780840949,5.10214488970547,6.26070635594469,6.39079083080813,7.90154297507823,6.26527319482852,5.98167672582521,5.95693588590608,7.40175843559263,5.84523316749164,5.55495858516446,5.83694255172552,7.51822415380102,5.72637913574043
"LINC01275",3.37388374684857,3.31581522342342,4.04488430283562,3.38570313611019,4.44686594974416,4.25549498873478,7.30287389906863,4.08012850485134,3.82703042835496,3.76989772535368,3.99623123191725,3.69691418520625,3.46926142004329,3.24486932667425,4.1125591426635,3.41272543117916,4.01863372118467,4.16936588851911,5.6664948813486,3.84999889334203
"EMSLR",6.14377420232977,6.42280089205608,5.13611383681436,5.70192554564884,5.44200767397134,5.78405534844595,5.04947423006632,5.728166276337,7.17088857197905,7.28609015561137,4.96886531183335,7.1058046562777,6.74179831936,7.23145072718053,6.38440880005939,6.77631753688472,5.63616678056466,5.92732443662321,5.57979636299102,5.35036154001716
"LOC101928762",4.85805927486202,4.61106541609887,5.66424603764918,4.77660936269817,5.32449639881647,4.76455244564697,5.91233472157395,4.58303597041479,4.86780249137589,5.22884050896695,6.39536751119115,5.58807480486539,4.90899994772957,4.91489791018766,6.44536457596815,4.9951191773744,4.91131395181794,4.95069446672321,5.80808887199588,4.75174682614146
"LINC01719",3.78164533503892,4.14257895115174,5.09270823358939,3.93294223490899,5.04960427070923,5.51064781740008,6.71178423430839,4.88898460240061,4.39325445778124,4.61279834895384,5.06584185886129,4.25787932639448,3.05893728609958,3.82349516564424,4.32535558704788,3.33665380271365,3.90995495267307,3.45088276900569,5.08631838939479,3.46991897145943
"LOC101929201",4.77702112725744,4.6382715390136,6.10067791492709,4.17415740572582,4.13853686283975,4.25024077922959,4.44589416757695,4.70063955850077,3.21461800812052,3.23195925345905,4.41176017755193,3.29139084689601,4.32474665199192,4.04408370315644,6.0668197479158,4.09140326516211,3.67875882010031,4.1432278572866,4.36624995120787,3.73451387416369
"LOC101929719",4.92823496423152,4.93087101234239,5.97039715541952,4.60957726573205,4.78837098739396,4.84052487158398,7.12195601022085,4.9507744847422,3.93697032767287,4.19466204278371,5.64370321267268,4.07415988478573,4.3791552577959,4.60641496982458,5.30580383060938,3.98084198545897,4.48969865827077,4.02837751072154,4.6980280553088,4.26863138171155
"MPHOSPH9",7.3288878306059,7.18509665819069,6.12666384606091,7.38802023330698,6.36146854054283,6.67043984902213,6.21608202308385,6.60830354524862,6.61704025359101,6.80668662744094,4.95613912586406,6.67125642515128,6.50227127236513,6.66535226112027,4.96054047470528,6.3612756518018,7.52271115053621,7.63669301058745,6.55006431129438,7.6998289969927
"MPHOSPH6",7.26062122094233,7.46393604455969,5.44010659708342,7.50069041812271,6.40089884691062,6.35971490293238,4.7409630267096,6.50624153194937,8.08914765911959,8.07573124811018,5.79998530340567,8.08398412182228,7.57921272419361,7.69648251689607,5.9415440342628,7.56861623015271,6.92914612012802,6.86768107739493,6.0273734976166,6.982798627235
"CDK6",8.70337802793545,8.8611024765008,6.94552254769075,8.77267089755798,8.54622668736504,8.49961666794332,7.91829284317423,8.63146839174736,7.53611340104369,7.54630010601757,5.09716444302012,7.66493243424038,9.20514659723386,9.25974486327585,7.2243849887565,9.32650848465505,8.5378261323057,8.56060673726465,7.3606035820399,8.57248850648462
"CTDSPL",8.14545529012983,8.07102011313574,7.11529796203223,8.12301400253092,7.87216761639802,7.76999595595002,5.92516229034957,7.83726072451019,6.06464349616647,6.09902606228439,5.38306390612041,5.904480079151,7.59001047243687,7.6554300806817,6.42763264078536,7.59629310650392,7.42933050256523,7.47646932769839,5.25251015434306,7.44478043340959
